experiment_id,timestamp,condition,hidden_robot_ids,hide_duration_s,num_robots,square_side_m,completed,time_to_complete_s,initial_avg_dist_m,initial_max_dist_m,initial_avg_inter_robot_m,final_avg_dist_m,final_max_dist_m,final_avg_inter_robot_m,total_distance_m,robot0_distance_m,robot1_distance_m,robot2_distance_m,robot3_distance_m,collision_count,min_inter_robot_dist_m,near_miss_count,position_loss_count,avg_recovery_time_s
run_20260510_094201,2026-05-10T09:42:01.985592,baseline,[],,4,0.18,True,5.92,0.4369,0.5692,0.8537,0.1136,0.1959,0.3422,2.0302,0.6735,0.5483,0.3739,0.4345,0,0.2496,0,0,
run_20260510_094318,2026-05-10T09:43:18.103684,baseline,[],,4,0.18,True,5.03,0.4056,0.5273,0.7983,0.1332,0.1979,0.3616,1.8409,0.5756,0.5419,0.3744,0.3489,0,0.2416,0,0,
run_20260510_094352,2026-05-10T09:43:52.355686,baseline,[],,4,0.18,True,6.93,0.4159,0.5627,0.8071,0.1172,0.1989,0.354,2.412,0.7294,0.607,0.4651,0.6106,0,0.2101,0,0,
run_20260510_094449,2026-05-10T09:44:49.886902,baseline,[],,4,0.18,True,6.22,0.4056,0.5769,0.8027,0.1075,0.1992,0.3243,1.8701,0.6898,0.5683,0.2265,0.3855,0,0.2211,0,1,2.91
run_20260510_094516,2026-05-10T09:45:16.404840,baseline,[],,4,0.18,True,8.63,0.4106,0.5827,0.8144,0.1093,0.1962,0.3297,2.448,0.6267,0.7114,0.5248,0.5851,0,0.1679,0,2,1.5
run_20260510_094542,2026-05-10T09:45:42.156365,baseline,[],,4,0.18,True,9.64,0.4214,0.5673,0.8222,0.128,0.198,0.3755,2.759,0.6056,0.7674,0.5497,0.8363,0,0.2026,0,1,4.42
run_20260510_095337,2026-05-10T09:53:37.797528,baseline,[],,4,0.18,True,6.63,0.4251,0.5697,0.8312,0.1174,0.1994,0.2857,2.4263,0.7959,0.5841,0.5804,0.466,0,0.1655,0,0,
run_20260510_095355,2026-05-10T09:53:55.139336,baseline,[],,4,0.18,True,9.94,0.4164,0.5702,0.816,0.1174,0.1878,0.3444,3.2578,1.1555,0.8844,0.6011,0.6168,0,0.2507,0,0,
run_20260510_095421,2026-05-10T09:54:21.636408,baseline,[],,4,0.18,True,4.82,0.4791,0.6322,0.8931,0.1515,0.1904,0.4092,1.7754,0.5876,0.4481,0.3859,0.3538,0,0.206,0,0,
run_20260510_095436,2026-05-10T09:54:36.781853,baseline,[],,4,0.18,True,5.82,0.4204,0.5882,0.8338,0.1323,0.1969,0.3399,2.1438,0.7454,0.6197,0.3697,0.409,0,0.2197,0,0,
run_20260510_095454,2026-05-10T09:54:54.891687,baseline,[],,4,0.18,True,5.02,0.4187,0.5759,0.8222,0.1237,0.1992,0.3631,1.7646,0.564,0.5287,0.2783,0.3937,0,0.2214,0,0,
run_20260510_095510,2026-05-10T09:55:10.872974,baseline,[],,4,0.18,True,6.73,0.421,0.5887,0.823,0.1549,0.1935,0.3155,2.1882,0.7577,0.4475,0.5459,0.4371,0,0.1082,12,0,
run_20260510_095541,2026-05-10T09:55:41.642590,baseline,[],,4,0.18,True,7.73,0.4334,0.6124,0.8479,0.0869,0.1917,0.298,2.241,0.7396,0.7081,0.2749,0.5185,0,0.2084,0,0,
run_20260510_095604,2026-05-10T09:56:04.997709,baseline,[],,4,0.18,True,7.73,0.4197,0.596,0.82,0.1275,0.1965,0.36,2.7442,0.9158,0.8783,0.4807,0.4694,0,0.2287,0,0,
run_20260510_095623,2026-05-10T09:56:23.523480,baseline,[],,4,0.18,True,4.32,0.4284,0.5863,0.8412,0.1053,0.1756,0.3267,1.645,0.5317,0.4416,0.3118,0.3599,0,0.2339,0,0,
run_20260510_095638,2026-05-10T09:56:38.761778,baseline,[],,4,0.18,True,7.43,0.4188,0.5948,0.8176,0.1216,0.1929,0.37,2.579,0.8102,0.7557,0.5125,0.5005,0,0.2066,0,0,
run_20260510_095656,2026-05-10T09:56:56.503672,baseline,[],,4,0.18,True,6.63,0.418,0.5725,0.8204,0.1273,0.1959,0.3764,2.2591,0.7206,0.6663,0.4616,0.4106,0,0.2531,0,0,
run_20260510_095744,2026-05-10T09:57:44.931441,baseline,[],,4,0.18,True,4.72,0.4334,0.6163,0.8495,0.1407,0.1974,0.3791,1.9,0.6423,0.5254,0.3738,0.3585,0,0.2694,0,0,
run_20260510_095805,2026-05-10T09:58:05.632218,baseline,[],,4,0.18,True,8.84,0.4717,0.6257,0.8868,0.1383,0.1996,0.3543,3.0281,0.6635,0.927,0.8141,0.6235,0,0.1121,22,0,
run_20260510_095825,2026-05-10T09:58:25.888244,baseline,[],,4,0.18,True,5.52,0.4307,0.6066,0.8524,0.1014,0.1857,0.3294,1.9318,0.6349,0.5356,0.3462,0.4151,0,0.254,0,0,
